Gender,PromClass,Gender_code,PromSilver,PromTin,PromGold,Affl,Age,LTime,Spend,TargetBuy
F,Silver,1,1,0,0,6,62,5,0.02,0
F,Silver,1,1,0,0,4,48,9,2000,0
M,Tin,0,0,1,0,9,45,7,0.01,0
F,Tin,1,0,1,0,10,37,5,0.01,0
F,Silver,1,1,0,0,14,54,3,3000,1
F,Platinum,1,0,0,0,12,69,3,20388.79,0
F,Gold,1,0,0,1,11,71,11,5200,0
M,Gold,0,0,0,1,8,61,1,11000,0
F,Gold,1,0,0,1,11,66,1,6000,1
M,Silver,0,1,0,0,7,62,9,2400,0
F,Gold,1,0,0,1,9,70,21,6105.32,0
F,Tin,1,0,1,0,8,68,5,0.01,0
M,Silver,0,1,0,0,12,36,1,2000,1
M,Gold,0,0,0,1,12,57,5,6000.01,0
F,Platinum,1,0,0,0,5,69,2,44428.13,0
F,Platinum,1,0,0,0,10,60,1,30000,1
M,Tin,0,0,1,0,7,34,4,0.01,1
F,Gold,1,0,0,1,7,50,8,13800,0
F,Silver,1,1,0,0,8,77,9,2000,0
F,Tin,1,0,1,0,7,52,5,0.01,0
M,Gold,0,0,0,1,6,70,17,7000,0
F,Silver,1,1,0,0,9,51,5,1800,0
F,Gold,1,0,0,1,12,69,4,15000,0
F,Silver,1,1,0,0,5,78,2,4000,0
F,Gold,1,0,0,1,13,33,1,6000,1
F,Gold,1,0,0,1,5,60,4,6000,0
F,Tin,1,0,1,0,12,55,8,0.01,0
F,Silver,1,1,0,0,11,72,5,2000,1
F,Silver,1,1,0,0,9,49,7,1000,1
F,Silver,1,1,0,0,4,37,4,4000,0
F,Silver,1,1,0,0,6,42,3,3000,0
M,Gold,0,0,0,1,8,54,9,6000,0
M,Tin,0,0,1,0,10,54,5,0.01,0
M,Silver,0,1,0,0,5,55,5,2200,0
M,Tin,0,0,1,0,5,35,8,0.01,0
F,Silver,1,1,0,0,6,75,19,3000,0
M,Gold,0,0,0,1,7,63,8,12000,0
F,Tin,1,0,1,0,17,51,5,0.01,1
F,Tin,1,0,1,0,6,53,8,0.01,0
F,Tin,1,0,1,0,2,45,6,0.01,0
M,Tin,0,0,1,0,15,52,9,0.01,0
M,Silver,0,1,0,0,12,69,2,5000,1
F,Tin,1,0,1,0,11,39,5,0.01,0
F,Silver,1,1,0,0,12,41,4,2200,1
F,Silver,1,1,0,0,10,59,8,3000,1
M,Gold,0,0,0,1,6,55,5,6000,0
M,Gold,0,0,0,1,13,66,6,5500,0
F,Tin,1,0,1,0,13,46,5,0.01,0
F,Tin,1,0,1,0,15,35,8,0.01,1
F,Gold,1,0,0,1,7,62,4,10000,1
F,Silver,1,1,0,0,7,36,1,500,1
F,Tin,1,0,1,0,15,51,5,0.01,1
F,Silver,1,1,0,0,2,53,7,3052.66,0
M,Tin,0,0,1,0,11,49,4,0.01,0
F,Tin,1,0,1,0,12,66,31,0.01,0
M,Silver,0,1,0,0,4,78,5,3000,0
F,Tin,1,0,1,0,5,60,5,0.01,0
M,Silver,0,1,0,0,6,68,9,1600,0
M,Silver,0,1,0,0,9,48,4,420,0
F,Silver,1,1,0,0,8,55,6,2000,0
M,Gold,0,0,0,1,7,66,4,20000,0
F,Gold,1,0,0,1,7,69,4,13025,0
F,Platinum,1,0,0,0,9,50,13,25000,0
M,Tin,0,0,1,0,8,51,5,0.01,0
F,Silver,1,1,0,0,12,52,5,4000,0
M,Tin,0,0,1,0,6,31,5,0.01,0
F,Tin,1,0,1,0,5,44,8,0.01,0
F,Tin,1,0,1,0,8,52,8,0.01,1
F,Gold,1,0,0,1,6,64,29,12315,0
F,Silver,1,1,0,0,8,54,9,300.01,1
F,Tin,1,0,1,0,7,59,5,0.01,0
M,Silver,0,1,0,0,17,55,2,3000,1
F,Tin,1,0,1,0,11,29,5,0.01,1
F,Silver,1,1,0,0,6,73,7,3026.68,0
F,Gold,1,0,0,1,10,58,1,6000,1
F,Tin,1,0,1,0,14,58,4,0.01,1
F,Gold,1,0,0,1,9,78,12,18000,0
M,Gold,0,0,0,1,11,52,15,6000,0
F,Tin,1,0,1,0,5,33,4,0.01,1
F,Silver,1,1,0,0,6,68,9,0.02,1
F,Gold,1,0,0,1,5,66,2,6000,1
F,Silver,1,1,0,0,10,60,5,1000,0
F,Tin,1,0,1,0,8,54,5,0.01,0
F,Gold,1,0,0,1,9,51,1,6000,0
F,Silver,1,1,0,0,9,45,2,50,0
M,Tin,0,0,1,0,4,41,5,0.01,0
F,Silver,1,1,0,0,5,75,4,1100,0
M,Tin,0,0,1,0,9,47,8,0.01,0
F,Silver,1,1,0,0,9,60,8,1560.22,0
M,Gold,0,0,0,1,12,54,6,20000,0
M,Silver,0,1,0,0,16,57,4,1000,0
F,Platinum,1,0,0,0,7,62,7,25457.45,0
F,Gold,1,0,0,1,6,52,8,12000,0
F,Tin,1,0,1,0,4,54,4,0.01,0
M,Tin,0,0,1,0,10,54,8,0.01,0
F,Silver,1,1,0,0,8,31,10,116.85,0
F,Tin,1,0,1,0,8,53,8,0.01,0
F,Silver,1,1,0,0,10,64,7,3000,0
F,Platinum,1,0,0,0,6,50,9,34895.94,0
F,Platinum,1,0,0,0,11,68,29,21053.35,0
F,Silver,1,1,0,0,3,40,1,1000,0
M,Tin,0,0,1,0,14,36,11,0.01,1
F,Gold,1,0,0,1,5,77,6,11999,0
F,Gold,1,0,0,1,7,73,8,7535.1,0
F,Platinum,1,0,0,0,11,43,8,23042.91,1
F,Silver,1,1,0,0,9,72,11,1680,0
M,Tin,0,0,1,0,12,51,6,0.01,0
F,Tin,1,0,1,0,8,49,7,0.01,0
M,Tin,0,0,1,0,8,76,8,0.01,0
F,Gold,1,0,0,1,9,33,2,12000,1
F,Gold,1,0,0,1,9,64,8,9000.01,0
M,Tin,0,0,1,0,5,51,8,0.01,0
F,Gold,1,0,0,1,15,55,2,6000,1
F,Silver,1,1,0,0,9,44,11,60,0
M,Silver,0,1,0,0,5,65,7,3000,0
F,Gold,1,0,0,1,8,78,3,6025,0
M,Silver,0,1,0,0,7,53,9,1700,0
F,Gold,1,0,0,1,10,65,1,6000,1
F,Gold,1,0,0,1,8,61,5,6053.35,0
F,Gold,1,0,0,1,7,50,5,6000,1
F,Gold,1,0,0,1,4,55,1,6000,0
M,Tin,0,0,1,0,6,50,5,0.01,0
F,Silver,1,1,0,0,16,60,1,5000,1
F,Tin,1,0,1,0,8,41,8,0.01,0
F,Silver,1,1,0,0,11,37,8,1000,1
F,Gold,1,0,0,1,7,69,7,6053.35,0
F,Gold,1,0,0,1,10,57,2,10000,1
F,Tin,1,0,1,0,6,33,4,0.01,0
F,Silver,1,1,0,0,6,67,8,1000,0
F,Gold,1,0,0,1,2,69,2,6000,0
M,Silver,0,1,0,0,9,37,2,3500,1
F,Gold,1,0,0,1,5,71,2,12000,0
F,Silver,1,1,0,0,12,57,13,3200,0
M,Gold,0,0,0,1,7,59,19,5281.51,0
M,Tin,0,0,1,0,5,47,8,0.01,0
F,Gold,1,0,0,1,9,69,8,11400,0
F,Silver,1,1,0,0,9,72,18,3200,0
F,Gold,1,0,0,1,8,63,2,6697.91,0
F,Silver,1,1,0,0,8,56,6,2000,0
F,Tin,1,0,1,0,14,34,8,0.01,1
F,Silver,1,1,0,0,10,53,2,1000,0
F,Tin,1,0,1,0,10,52,9,0.01,0
F,Silver,1,1,0,0,7,55,4,3000,0
F,Tin,1,0,1,0,4,36,9,0.01,1
F,Silver,1,1,0,0,14,25,5,1500,1
F,Gold,1,0,0,1,14,76,11,12000,1
F,Gold,1,0,0,1,5,71,8,8250,0
F,Gold,1,0,0,1,15,58,6,6000,1
F,Silver,1,1,0,0,10,74,5,5000,0
F,Tin,1,0,1,0,8,53,5,0.01,0
M,Silver,0,1,0,0,6,69,13,3000,0
M,Platinum,0,0,0,0,5,46,9,36194.13,0
F,Silver,1,1,0,0,11,39,1,5000,1
F,Silver,1,1,0,0,9,75,9,3000,0
F,Silver,1,1,0,0,4,56,12,1000,0
F,Silver,1,1,0,0,15,34,10,5000,1
M,Gold,0,0,0,1,11,31,2,12000,1
M,Gold,0,0,0,1,7,67,13,12000,0
F,Gold,1,0,0,1,8,66,8,12884.25,0
F,Tin,1,0,1,0,14,37,4,0.01,1
F,Gold,1,0,0,1,5,59,4,7500,0
F,Gold,1,0,0,1,8,61,18,14000,0
F,Tin,1,0,1,0,9,54,5,0.01,0
F,Silver,1,1,0,0,11,72,2,4000,0
F,Tin,1,0,1,0,15,39,7,0.01,1
M,Gold,0,0,0,1,6,76,6,6000,0
F,Gold,1,0,0,1,10,49,8,13658.66,0
F,Silver,1,1,0,0,10,63,9,1000,1
M,Silver,0,1,0,0,13,48,5,0.02,0
F,Tin,1,0,1,0,3,53,8,0.01,0
F,Silver,1,1,0,0,8,71,9,1000,1
M,Silver,0,1,0,0,5,67,13,2500,0
F,Gold,1,0,0,1,7,77,5,5037.5,0
F,Silver,1,1,0,0,10,69,19,3150,0
F,Silver,1,1,0,0,8,49,9,3000,0
F,Platinum,1,0,0,0,5,46,18,26000,0
F,Gold,1,0,0,1,9,56,3,15000,0
F,Tin,1,0,1,0,8,60,8,0.01,0
F,Silver,1,1,0,0,12,51,2,2700,1
F,Gold,1,0,0,1,7,60,1,6000,0
F,Tin,1,0,1,0,5,41,4,0.01,0
F,Gold,1,0,0,1,4,50,6,5553.82,0
M,Tin,0,0,1,0,15,31,4,0.01,1
M,Gold,0,0,0,1,3,54,7,6052.66,0
F,Gold,1,0,0,1,7,39,11,6000,0
M,Silver,0,1,0,0,8,60,5,2000,0
M,Gold,0,0,0,1,7,68,3,9000,0
F,Silver,1,1,0,0,6,59,2,205,0
M,Gold,0,0,0,1,8,66,6,6107.64,0
M,Tin,0,0,1,0,8,47,7,0.01,0
M,Gold,0,0,0,1,10,71,4,6000,0
M,Gold,0,0,0,1,4,64,1,6000,0
M,Tin,0,0,1,0,8,76,8,0.01,0
F,Silver,1,1,0,0,11,49,5,1000,0
M,Tin,0,0,1,0,10,40,5,0.01,0
F,Tin,1,0,1,0,8,45,10,0.01,0
M,Silver,0,1,0,0,2,35,5,3000,0
M,Silver,0,1,0,0,9,65,8,3000,0
F,Gold,1,0,0,1,19,40,1,6000,1
F,Silver,1,1,0,0,8,36,8,500,0
M,Gold,0,0,0,1,8,58,5,10000,0
F,Gold,1,0,0,1,5,70,1,6000,0
M,Tin,0,0,1,0,8,48,4,0.01,0
M,Gold,0,0,0,1,4,77,2,6000,1
F,Gold,1,0,0,1,9,68,25,6000,0
M,Gold,0,0,0,1,8,58,6,7053.34,0
F,Silver,1,1,0,0,6,36,8,4200,0
F,Silver,1,1,0,0,8,38,3,72.5,0
F,Silver,1,1,0,0,10,62,7,3000,0
F,Silver,1,1,0,0,9,64,9,1000,1
F,Gold,1,0,0,1,4,65,7,6053.35,0
M,Gold,0,0,0,1,5,57,4,6000,0
F,Silver,1,1,0,0,5,58,7,3000,0
F,Gold,1,0,0,1,10,59,3,18000,0
M,Gold,0,0,0,1,6,58,6,6000,0
F,Silver,1,1,0,0,6,27,9,920,1
M,Tin,0,0,1,0,11,49,7,0.01,0
M,Silver,0,1,0,0,10,46,11,350,0
F,Silver,1,1,0,0,5,75,5,5000,0
F,Silver,1,1,0,0,10,50,9,3000,0
M,Silver,0,1,0,0,5,54,5,1000,0
F,Tin,1,0,1,0,11,46,5,0.01,1
F,Gold,1,0,0,1,5,58,4,14000,0
F,Silver,1,1,0,0,10,69,35,240,1
M,Platinum,0,0,0,0,6,63,3,20631.55,0
F,Silver,1,1,0,0,14,46,3,3000,0
M,Gold,0,0,0,1,6,57,1,6000,0
F,Tin,1,0,1,0,10,43,8,0.01,0
F,Silver,1,1,0,0,12,52,9,500.01,0
F,Silver,1,1,0,0,5,79,7,1000,0
M,Gold,0,0,0,1,7,56,11,14000,0
M,Silver,0,1,0,0,9,75,8,3000,1
M,Tin,0,0,1,0,11,49,5,0.01,0
F,Gold,1,0,0,1,5,71,9,16842.12,0
F,Tin,1,0,1,0,10,47,5,0.01,0
M,Silver,0,1,0,0,9,52,9,4000,0
M,Tin,0,0,1,0,5,53,7,0.01,0
F,Silver,1,1,0,0,4,65,11,3000,0
F,Gold,1,0,0,1,5,58,11,13000,0
M,Gold,0,0,0,1,8,54,8,12000,1
F,Tin,1,0,1,0,13,52,10,0.01,0
F,Silver,1,1,0,0,5,58,3,5000,0
M,Gold,0,0,0,1,8,54,12,12000,0
F,Platinum,1,0,0,0,14,50,9,27034.59,1
F,Tin,1,0,1,0,12,48,8,0.01,1
F,Platinum,1,0,0,0,4,57,8,20212.01,0
M,Gold,0,0,0,1,6,74,16,6000,0
F,Gold,1,0,0,1,9,63,3,19829.86,0
F,Silver,1,1,0,0,6,76,4,1000,0
M,Tin,0,0,1,0,10,55,6,0.01,0
F,Tin,1,0,1,0,8,35,9,0.01,1
M,Silver,0,1,0,0,9,42,8,2400,0
F,Gold,1,0,0,1,6,63,2,6000,0
M,Silver,0,1,0,0,6,56,4,3000,0
F,Gold,1,0,0,1,13,41,3,6000,1
F,Gold,1,0,0,1,14,53,11,7600.02,0
F,Gold,1,0,0,1,7,46,5,9000,0
F,Tin,1,0,1,0,13,55,9,0.01,0
M,Platinum,0,0,0,0,13,76,6,22000,0
F,Tin,1,0,1,0,10,57,5,0.01,0
F,Tin,1,0,1,0,8,52,8,0.01,0
F,Tin,1,0,1,0,10,49,5,0.01,0
F,Tin,1,0,1,0,13,41,10,0.01,0
F,Silver,1,1,0,0,11,57,8,300,0
M,Silver,0,1,0,0,7,49,1,2000,0
F,Tin,1,0,1,0,10,64,5,0.01,1
F,Silver,1,1,0,0,12,55,1,3000,1
F,Platinum,1,0,0,0,11,33,4,66000,1
M,Gold,0,0,0,1,3,52,6,6053.35,0
M,Tin,0,0,1,0,6,50,5,0.01,0
F,Tin,1,0,1,0,6,42,5,0.01,1
F,Tin,1,0,1,0,4,59,5,0.01,0
M,Silver,0,1,0,0,7,32,4,600,1
M,Silver,0,1,0,0,10,66,7,1500,0
F,Tin,1,0,1,0,8,59,8,0.01,0
F,Tin,1,0,1,0,6,46,5,0.01,0
F,Tin,1,0,1,0,9,39,4,0.01,0
F,Tin,1,0,1,0,5,36,8,0.01,1
F,Tin,1,0,1,0,6,29,5,0.01,0
F,Gold,1,0,0,1,8,46,1,6755.3,0
M,Silver,0,1,0,0,9,54,4,5000,0
F,Gold,1,0,0,1,9,78,8,9000,1
F,Silver,1,1,0,0,8,59,8,2800,0
F,Silver,1,1,0,0,4,74,12,500,0
F,Tin,1,0,1,0,9,48,5,0.01,1
F,Gold,1,0,0,1,5,71,12,6000,0
F,Gold,1,0,0,1,11,41,1,6000,1
M,Tin,0,0,1,0,13,36,5,0.01,1
F,Silver,1,1,0,0,11,56,2,3000,0
F,Silver,1,1,0,0,17,35,5,1620,1
M,Silver,0,1,0,0,11,72,8,300,0
F,Gold,1,0,0,1,12,61,3,9000,0
F,Silver,1,1,0,0,7,35,3,100,1
F,Gold,1,0,0,1,13,69,4,10050,1
F,Silver,1,1,0,0,9,26,8,500,1
F,Gold,1,0,0,1,7,71,15,12900,0
F,Gold,1,0,0,1,12,72,3,6000,0
F,Tin,1,0,1,0,16,47,4,0.01,1
F,Tin,1,0,1,0,8,29,4,0.01,0
F,Silver,1,1,0,0,9,38,10,500.01,1
F,Silver,1,1,0,0,7,59,11,1020,1
M,Silver,0,1,0,0,10,59,17,1000,1
F,Silver,1,1,0,0,10,70,5,1500,0
F,Gold,1,0,0,1,6,55,2,6000,0
M,Silver,0,1,0,0,5,72,2,4172.52,0
F,Gold,1,0,0,1,8,73,6,18053.35,0
F,Platinum,1,0,0,0,7,75,4,30000,0
F,Tin,1,0,1,0,10,52,5,0.01,1
F,Tin,1,0,1,0,7,45,10,0.01,0
M,Gold,0,0,0,1,12,75,5,6000,1
M,Silver,0,1,0,0,4,44,2,50,0
F,Tin,1,0,1,0,8,63,8,0.01,0
F,Silver,1,1,0,0,11,33,9,360,1
F,Silver,1,1,0,0,4,49,3,3000,0
M,Gold,0,0,0,1,7,74,2,7000,1
F,Tin,1,0,1,0,7,39,4,0.01,1
F,Silver,1,1,0,0,4,44,2,70,0
F,Silver,1,1,0,0,9,59,5,1000.02,0
M,Tin,0,0,1,0,12,32,4,0.01,1
F,Gold,1,0,0,1,12,76,3,10850,0
F,Silver,1,1,0,0,7,35,2,1300,1
M,Silver,0,1,0,0,6,77,1,2000,0
F,Silver,1,1,0,0,4,51,4,3000,0
F,Gold,1,0,0,1,8,33,1,12500,1
F,Tin,1,0,1,0,13,56,5,0.01,1
F,Silver,1,1,0,0,10,30,8,1500,1
M,Tin,0,0,1,0,2,47,10,0.01,0
F,Gold,1,0,0,1,5,50,8,9146.05,1
M,Gold,0,0,0,1,7,37,7,13666.69,0
F,Tin,1,0,1,0,5,53,5,0.01,0
M,Silver,0,1,0,0,4,59,5,960,0
F,Gold,1,0,0,1,6,62,2,17000,0
F,Gold,1,0,0,1,13,54,2,6000,1
F,Silver,1,1,0,0,14,61,5,1000,1
F,Tin,1,0,1,0,15,39,5,0.01,1
F,Tin,1,0,1,0,11,34,5,0.01,1
F,Silver,1,1,0,0,13,68,7,3000,0
F,Tin,1,0,1,0,13,54,8,0.01,1
M,Gold,0,0,0,1,11,59,1,10000,0
F,Silver,1,1,0,0,10,70,23,2723.77,0
M,Tin,0,0,1,0,10,51,5,0.01,0
F,Tin,1,0,1,0,5,69,4,0.01,0
F,Gold,1,0,0,1,9,29,2,6000,0
F,Silver,1,1,0,0,16,31,5,1000,1
F,Tin,1,0,1,0,7,48,5,0.01,1
F,Silver,1,1,0,0,11,73,7,4424,0
F,Gold,1,0,0,1,8,76,18,6000,0
M,Silver,0,1,0,0,6,50,9,600,0
F,Silver,1,1,0,0,8,48,1,100,0
F,Tin,1,0,1,0,8,60,4,0.01,0
M,Tin,0,0,1,0,5,57,10,0.01,0
F,Gold,1,0,0,1,4,38,3,9000,0
F,Silver,1,1,0,0,8,62,5,1000,0
F,Silver,1,1,0,0,12,46,2,2035.88,1
F,Tin,1,0,1,0,13,33,5,0.01,1
F,Silver,1,1,0,0,9,79,5,5000,1
F,Tin,1,0,1,0,7,62,6,0.01,0
M,Gold,0,0,0,1,5,38,4,17555.03,0
F,Silver,1,1,0,0,9,53,8,1500,0
F,Gold,1,0,0,1,13,51,5,5286.11,0
F,Silver,1,1,0,0,11,55,5,1000,0
F,Gold,1,0,0,1,11,66,5,10000,1
F,Tin,1,0,1,0,23,32,4,0.01,1
F,Silver,1,1,0,0,12,50,8,1960,0
F,Gold,1,0,0,1,9,73,7,8053.35,0
F,Gold,1,0,0,1,5,62,5,12000,0
F,Silver,1,1,0,0,10,65,4,5000,0
F,Gold,1,0,0,1,6,64,7,9053.35,0
F,Tin,1,0,1,0,4,30,8,0.01,0
M,Silver,0,1,0,0,8,47,8,2000,0
M,Tin,0,0,1,0,9,45,4,0.01,0
F,Tin,1,0,1,0,7,44,5,0.01,0
M,Silver,0,1,0,0,8,67,8,3000,0
M,Gold,0,0,0,1,5,44,4,6000,0
F,Tin,1,0,1,0,10,44,5,0.01,1
M,Tin,0,0,1,0,9,44,9,0.01,0
F,Silver,1,1,0,0,8,72,5,4500,1
F,Tin,1,0,1,0,6,35,6,0.01,1
M,Tin,0,0,1,0,3,48,5,0.01,0
F,Tin,1,0,1,0,9,50,5,0.01,0
M,Silver,0,1,0,0,16,77,6,1500,0
M,Tin,0,0,1,0,9,45,5,0.01,0
M,Gold,0,0,0,1,12,37,1,6000,0
F,Silver,1,1,0,0,18,55,7,3000,0
F,Gold,1,0,0,1,9,58,2,6000,0
M,Platinum,0,0,0,0,10,70,3,20765.47,0
M,Silver,0,1,0,0,5,44,6,2000,0
M,Gold,0,0,0,1,4,68,9,10800,0
M,Gold,0,0,0,1,4,62,2,6000,0
F,Gold,1,0,0,1,14,43,7,6000.01,1
F,Gold,1,0,0,1,7,62,9,9300,0
F,Tin,1,0,1,0,17,38,6,0.01,1
F,Gold,1,0,0,1,10,38,6,5089.7,0
F,Silver,1,1,0,0,7,45,9,5000,0
M,Gold,0,0,0,1,12,48,2,6000,0
F,Gold,1,0,0,1,15,70,5,6053.35,0
F,Tin,1,0,1,0,13,54,8,0.01,0
F,Gold,1,0,0,1,12,52,3,5465.13,0
F,Gold,1,0,0,1,7,64,2,6000,0
M,Silver,0,1,0,0,15,32,3,600,1
F,Gold,1,0,0,1,9,65,7,9053.35,0
F,Tin,1,0,1,0,17,46,5,0.01,1
F,Tin,1,0,1,0,17,53,5,0.01,1
F,Tin,1,0,1,0,4,29,5,0.01,0
M,Silver,0,1,0,0,16,47,8,4884.25,0
F,Silver,1,1,0,0,7,35,2,1000,1
F,Platinum,1,0,0,0,8,51,4,27000,0
M,Tin,0,0,1,0,9,49,4,0.01,0
M,Tin,0,0,1,0,11,43,7,0.01,1
F,Platinum,1,0,0,0,10,49,12,21500,0
M,Silver,0,1,0,0,10,25,1,420,0
F,Silver,1,1,0,0,11,58,9,0.02,1
F,Silver,1,1,0,0,9,70,13,250,0
F,Gold,1,0,0,1,13,46,8,12000,0
M,Silver,0,1,0,0,11,31,7,0.02,1
F,Tin,1,0,1,0,8,35,5,0.01,1
M,Gold,0,0,0,1,9,66,14,14800.32,0
M,Tin,0,0,1,0,7,43,4,0.01,0
F,Gold,1,0,0,1,9,44,2,5747.17,1
F,Gold,1,0,0,1,13,39,4,7500,1
F,Silver,1,1,0,0,11,59,6,1000,0
F,Silver,1,1,0,0,16,38,5,2700,1
M,Tin,0,0,1,0,8,37,4,0.01,0
M,Silver,0,1,0,0,12,70,2,2000,0
F,Silver,1,1,0,0,11,36,1,1050,1
F,Silver,1,1,0,0,11,40,14,2000,1
M,Gold,0,0,0,1,8,57,7,12053.35,0
F,Tin,1,0,1,0,10,37,7,0.01,1
M,Tin,0,0,1,0,9,51,8,0.01,0
M,Tin,0,0,1,0,6,38,5,0.01,0
F,Tin,1,0,1,0,12,34,5,0.01,1
F,Silver,1,1,0,0,6,55,6,3000,1
M,Silver,0,1,0,0,6,55,21,2000,0
F,Silver,1,1,0,0,7,43,1,5000,1
M,Silver,0,1,0,0,10,55,8,2500,0
F,Tin,1,0,1,0,6,67,8,0.01,0
F,Silver,1,1,0,0,12,47,3,3000,0
F,Gold,1,0,0,1,8,37,6,8750,1
M,Silver,0,1,0,0,9,49,4,1920,0
F,Silver,1,1,0,0,6,28,3,3000,0
F,Silver,1,1,0,0,7,30,5,3040,1
F,Silver,1,1,0,0,9,56,1,4449,1
F,Gold,1,0,0,1,7,62,1,6000,0
F,Gold,1,0,0,1,10,52,3,6000,0
M,Gold,0,0,0,1,10,38,8,13000,0
F,Silver,1,1,0,0,14,70,21,3720.39,0
M,Gold,0,0,0,1,8,50,6,6000,0
F,Gold,1,0,0,1,13,65,6,6053.35,1
F,Tin,1,0,1,0,13,34,4,0.01,1
F,Gold,1,0,0,1,8,76,4,6000,0
F,Tin,1,0,1,0,15,46,5,0.01,0
F,Gold,1,0,0,1,7,61,9,14300,0
M,Silver,0,1,0,0,9,48,8,1000,1
M,Tin,0,0,1,0,3,54,5,0.01,0
F,Tin,1,0,1,0,9,43,5,0.01,0
F,Silver,1,1,0,0,8,60,4,1000,0
M,Silver,0,1,0,0,4,64,6,1000,0
M,Silver,0,1,0,0,5,38,5,1250,1
M,Gold,0,0,0,1,7,60,2,6000,0
M,Gold,0,0,0,1,10,44,6,18000,1
M,Tin,0,0,1,0,9,60,7,0.01,0
F,Tin,1,0,1,0,7,34,5,0.01,0
M,Tin,0,0,1,0,12,40,4,0.01,0
F,Gold,1,0,0,1,8,56,1,7357.9,0
F,Platinum,1,0,0,0,7,66,3,20399.2,0
F,Tin,1,0,1,0,11,51,5,0.01,0
F,Silver,1,1,0,0,13,62,9,1530,1
F,Tin,1,0,1,0,5,40,7,0.01,0
F,Tin,1,0,1,0,14,43,5,0.01,0
F,Tin,1,0,1,0,7,45,6,0.01,0
M,Gold,0,0,0,1,13,58,7,12053.35,0
F,Gold,1,0,0,1,7,65,2,6000,0
F,Tin,1,0,1,0,4,31,8,0.01,0
F,Silver,1,1,0,0,10,70,4,2500,0
M,Gold,0,0,0,1,8,43,5,6053.35,0
F,Platinum,1,0,0,0,9,62,2,21000,0
M,Gold,0,0,0,1,5,67,2,12000,0
F,Tin,1,0,1,0,10,28,7,0.01,0
M,Gold,0,0,0,1,9,62,16,10000,0
M,Silver,0,1,0,0,8,35,9,50,1
F,Silver,1,1,0,0,12,33,1,600,0
F,Silver,1,1,0,0,5,64,6,1000,0
M,Silver,0,1,0,0,8,72,11,866.88,0
F,Tin,1,0,1,0,13,28,4,0.01,1
F,Silver,1,1,0,0,8,55,6,3000,0
F,Silver,1,1,0,0,8,35,1,500,0
F,Tin,1,0,1,0,6,44,5,0.01,1
M,Gold,0,0,0,1,4,66,3,9000,0
F,Tin,1,0,1,0,7,48,5,0.01,0
F,Silver,1,1,0,0,7,55,9,500,0
F,Tin,1,0,1,0,10,50,8,0.01,0
M,Tin,0,0,1,0,13,43,7,0.01,1
M,Gold,0,0,0,1,10,68,6,7053.35,0
F,Tin,1,0,1,0,12,49,4,0.01,1
M,Gold,0,0,0,1,15,57,9,5180,0
F,Silver,1,1,0,0,2,77,0,1000,0
F,Silver,1,1,0,0,14,39,8,420,1
M,Silver,0,1,0,0,12,52,3,600,0
M,Silver,0,1,0,0,17,39,7,5000,1
F,Tin,1,0,1,0,7,34,5,0.01,0
M,Silver,0,1,0,0,1,50,11,2000,0
M,Silver,0,1,0,0,7,46,5,1400,0
F,Gold,1,0,0,1,8,55,8,12000,0
F,Gold,1,0,0,1,9,61,12,7500,1
F,Tin,1,0,1,0,15,49,11,0.01,1
F,Gold,1,0,0,1,6,43,2,6000,1
M,Silver,0,1,0,0,6,51,5,600,0
M,Gold,0,0,0,1,6,52,8,6000.01,0
F,Silver,1,1,0,0,5,43,3,5000,1
F,Tin,1,0,1,0,17,27,5,0.01,1
M,Tin,0,0,1,0,6,69,9,0.01,0
F,Gold,1,0,0,1,11,61,2,12000,0
F,Silver,1,1,0,0,10,43,5,5000,1
F,Tin,1,0,1,0,6,39,4,0.01,0
M,Platinum,0,0,0,0,7,66,1,30000,0
M,Tin,0,0,1,0,10,47,5,0.01,0
M,Silver,0,1,0,0,9,47,1,3000,0
F,Tin,1,0,1,0,9,67,5,0.01,0
F,Tin,1,0,1,0,9,42,8,0.01,1
M,Silver,0,1,0,0,6,56,1,3000,0
F,Silver,1,1,0,0,8,68,11,50,0
F,Silver,1,1,0,0,7,48,8,600.01,0
F,Tin,1,0,1,0,8,46,5,0.01,0
F,Gold,1,0,0,1,7,48,2,6000,0
M,Silver,0,1,0,0,16,37,9,75.01,1
F,Silver,1,1,0,0,6,54,1,1000,0
M,Gold,0,0,0,1,10,65,26,10598.78,0
F,Silver,1,1,0,0,10,44,1,2000,1
F,Tin,1,0,1,0,9,36,7,0.01,1
F,Gold,1,0,0,1,9,68,20,8500,0
F,Silver,1,1,0,0,9,37,1,900,0
F,Tin,1,0,1,0,12,30,5,0.01,0
F,Tin,1,0,1,0,7,78,4,0.01,1
M,Gold,0,0,0,1,10,77,8,12500,1
M,Silver,0,1,0,0,5,78,32,5000,0
M,Platinum,0,0,0,0,10,74,15,46445.22,1
F,Gold,1,0,0,1,4,65,2,6000,0
F,Gold,1,0,0,1,11,54,6,18106.69,0
F,Tin,1,0,1,0,9,49,4,0.01,1
F,Silver,1,1,0,0,9,59,8,2000,1
F,Silver,1,1,0,0,11,56,5,480,0
F,Silver,1,1,0,0,7,49,5,100.01,0
F,Gold,1,0,0,1,9,68,6,15000,1
F,Silver,1,1,0,0,6,37,4,500,1
F,Gold,1,0,0,1,10,52,3,6000,0
F,Silver,1,1,0,0,11,46,9,500,0
